1:11:9,DM7043,1.0
1:11:9,A74843,1.0
1:11:9,A874043,1.0
1:11:9,4M74043,1.0
1:11:12,VWF4843,2.0
1:11:12,NC1049,2.0
1:11:14,443,1.0
1:11:14,AWY4043,1.0
1:11:14,KC74043,1.0
1:11:15,4W449,1.0
1:11:15,634043,1.0
1:11:15,MP4449,1.0
1:11:15,WA43,1.0
1:23:46,VNPA84,1.0
1:23:46,VMP447,1.0
1:23:49,D2894,1.0
1:23:49,CP09,1.0
1:23:49,MV843,1.0
1:23:49,M0V288,1.0
1:23:49,NM458,1.0
1:23:58,P29,1.0
1:23:58,MM162,1.0
1:23:58,MP7Q0,1.0
1:23:58,M1241,1.0
1:23:59,HAPYU13,2.0
1:24:0,MHZY26,2.0
1:24:2,C64,2.0
1:24:2,6R43,2.0
1:24:2,063,2.0
1:24:2,AE4846,2.0
1:24:2,PM2144,2.0
1:24:2,LY2119,2.0
1:24:8,AM74043,2.0
1:24:8,AM74043,2.0
1:24:8,AM74043,2.0
1:24:8,AM74043,2.0
1:24:8,AM74043,2.0
1:24:11,AM74043,2.0
1:24:11,AM74043,2.0
1:24:11,AM74043,2.0
1:24:11,AM74043,2.0
1:24:11,AM74043,2.0
1:24:11,AM74043,2.0
1:24:12,AM74043,2.0
1:24:12,AM74043,2.0
1:24:12,AM74043,2.0
1:24:12,AM74043,2.0
1:24:13,AM74043,1.0
1:24:13,AM74043,1.0
1:24:14,AM74043,1.0
1:24:14,AM74043,1.0
1:24:14,AM74043,1.0
1:24:14,AM74043,1.0
1:24:14,AM74043,1.0
1:24:14,AM74043,1.0
1:24:16,AM74043,2.0
1:24:16,AM74043,2.0
1:24:16,AM74043,2.0
1:24:16,AM74043,2.0
